date,risk_score,portfolio_value_gbp,portfolio_change_pct
2025-10-13,0,449.42,1.72
2025-10-14,0,437.38,-1.00
2025-10-15,0,437.70,-0.93
2025-10-16,0,443.27,0.33
2025-10-17,0,436.46,-1.21
2025-10-18,0,436.46,-1.21
2025-10-19,0,436.46,-1.21
2025-10-20,0,439.52,-0.52
2025-10-21,0,437.09,-1.07
2025-10-22,0,435.98,-1.32
2025-10-23,0,439.23,-0.58
2025-10-24,0,448.90,1.60
2025-10-25,0,448.90,1.60
2025-10-26,0,448.90,1.60
2025-10-27,0,455.60,3.12
2025-10-28,0,464.88,5.22
2025-10-29,0,469.96,6.37
2025-10-30,0,462.92,4.78
2025-10-31,0,469.41,6.25
2025-11-01,0,469.41,6.25
2025-11-02,0,469.41,6.25
2025-11-03,0,473.25,7.12
2025-11-04,0,453.91,2.74
2025-11-05,0,462.49,4.68
2025-11-06,0,448.75,1.57
2025-11-07,0,443.31,0.34
2025-11-08,0,443.31,0.34
2025-11-09,0,443.31,0.34
2025-11-10,0,455.94,3.20
2025-11-11,0,448.78,1.58
2025-11-12,0,447.72,1.34
2025-11-13,0,436.23,-1.26
2025-11-14,0,436.12,-1.29
2025-11-15,0,436.12,-1.29
2025-11-16,0,436.12,-1.29
2025-11-17,0,434.83,-1.58
2025-11-18,0,424.79,-3.85
2025-11-19,0,430.91,-2.47
2025-11-20,0,424.05,-4.02
2025-11-21,0,426.57,-3.45
2025-11-22,0,426.57,-3.45
2025-11-23,0,426.57,-3.45
2025-11-24,0,438.87,-0.66
2025-11-25,0,430.65,-2.52
2025-11-26,0,433.36,-1.91
2025-11-27,0,433.36,-1.91
2025-11-28,0,439.83,-0.45
2025-11-29,0,439.83,-0.45
2025-11-30,0,439.83,-0.45
2025-12-01,0,439.81,-0.45
2025-12-02,0,440.41,-0.32
2025-12-03,0,441.25,-0.13
2025-12-04,0,440.44,-0.31
2025-12-05,0,440.44,-0.31
2025-12-05,0,440.79,-0.23
2025-12-05,0,440.74,-0.24
2025-12-08,0,440.45,-0.31
2025-12-09,0,444.40,0.59
2025-12-09,0,444.48,0.60
2025-12-09,0,444.31,0.57
2025-12-10,0,444.48,0.60
